amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe_Ratio,Alpha,Beta,Max_Drawdown,Return_Rank,Sharpe_Rank,Alpha_Rank,Drawdown_Rank,Fund_Score
148567,0.20360678307711866,0.3400091602163293,0.2679927700697151,1.4482911703262598,0.2698375144191807,0.023683558075848616,-0.11265729075028275,2.0,1.0,7.0,8.0,100.0
120505,0.29604659337893646,0.317775371512347,0.2837676208804263,1.1801011976606492,0.2926358334175106,0.000549004250631731,-0.18188513572116294,5.0,5.0,3.0,25.0,95.3623188405797
120843,0.26657081760850154,0.2958277033726251,0.2674249401072899,1.3067439695428409,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,7.0,2.0,5.0,13.0,94.6376811594203
148569,0.3975176148971702,0.2917890157839378,0.2762985997578453,1.2349300257743294,0.2827036785246582,0.01813388408385925,-0.1639674294693263,8.0,3.0,4.0,21.0,93.18840579710145
100033,0.5323239623092084,0.32442459421956116,0.260740682788986,1.093698743534631,0.2719535450128533,0.005103525830528313,-0.16217208574644848,4.0,7.0,6.0,20.0,92.31884057971014
119551,0.6043734071403091,0.3045652442030289,0.22384873172214603,1.2082665673727175,0.23201007160635082,-0.03175144113890976,-0.1501238549864533,6.0,4.0,10.0,17.0,90.14492753623189
119094,0.22261065131342206,0.35111802096428524,0.24445308534360555,0.9982309868636413,0.2607666908004223,-0.0662654286280376,-0.20960883862039192,1.0,11.0,9.0,28.0,89.56521739130434
120504,0.13064279264417977,0.3248742855621496,0.20234028033314222,1.0265242847993001,0.2119482701352573,0.016232169761417024,-0.12588275606922517,3.0,10.0,13.0,12.0,85.3623188405797
149323,0.21481222193726257,0.268699908289022,0.256118065778393,1.1321218524747243,0.26598577542043045,-0.002523004664699212,-0.17248105753451382,11.0,6.0,8.0,22.0,83.76811594202898
149324,0.6513871892998797,0.27000426614519246,0.2791743018490922,0.9497958246616031,0.3005787817097677,0.011455159960520695,-0.31171900300634214,10.0,13.0,2.0,37.0,82.17391304347827
101206,0.4792412023860102,0.2896769452874166,0.20442729550832484,1.0272133278753695,0.21399784776051212,0.02108631625012804,-0.11291596329323073,9.0,9.0,12.0,9.0,80.14492753623189
119598,0.8277605861507404,0.2666992200118774,0.28033223731546975,0.9453082575156095,0.3033696538698332,-0.02319606204405971,-0.2870600572176455,12.0,14.0,1.0,36.0,79.56521739130434
118632,0.339810484550213,0.22652359830098634,0.2088111809083788,1.0816591793457042,0.21829397904608644,-0.008353832126962014,-0.17414075086657232,14.0,8.0,11.0,23.0,76.08695652173913
119552,0.05706100044974027,0.16267372294624916,0.18713118910689763,0.9532794968660104,0.1986859936686296,-0.02615930751351341,-0.11803493502764295,23.0,12.0,15.0,11.0,58.69565217391305
102885,0.20207703983094838,0.1966726206830185,0.1587882255741997,0.8170993373494367,0.17048756803412696,-0.019486785689474536,-0.1085986215250232,18.0,16.0,19.0,7.0,57.53623188405796
125497,0.2867535802656873,0.18434488610520172,0.16555918956858906,0.7757902498211205,0.17729754927531766,0.048820404259577385,-0.15200013055606398,19.0,18.0,16.0,18.0,56.52173913043478
102887,0.135831349444816,0.25556187904126526,0.146781096489218,0.6195175900829828,0.16211256794033255,0.016682689437770806,-0.21539827112383225,13.0,22.0,21.0,30.0,55.79710144927536
148568,0.14269394138778924,0.14748035533586012,0.1956595954624316,0.9262873467360144,0.20873010086942337,-0.02638771994384303,-0.1527259422823477,24.0,15.0,14.0,19.0,55.21739130434782
118633,0.25539980483954094,0.2108997654925684,0.14188358083768593,0.6452074382933215,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,15.0,21.0,22.0,26.0,53.76811594202898
118635,0.22493224932249345,0.20008208380471482,0.13914386506748544,0.664856998549062,0.1513635464823924,-0.001433521389780139,-0.1165062450540909,17.0,19.0,23.0,10.0,52.7536231884058
120506,0.4181904829701364,0.1842199653744454,0.1488859671244569,0.6488787755249532,0.1625385327998104,0.04189646272811975,-0.1982565826298267,20.0,20.0,20.0,27.0,50.43478260869565
120503,0.08489081269294418,0.13978381933703043,0.16355566129520227,0.7979728586052847,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,25.0,17.0,17.0,14.0,49.85507246376812
149322,0.1811115252275146,0.18044206486636138,0.11695026862847113,0.46403744922047774,0.13173190226099432,-0.004050271130006511,-0.14844576917771746,21.0,25.0,24.0,16.0,41.30434782608695
120841,0.16837098075385626,0.1726727508371786,0.1181544242649819,0.4942725378672349,0.13042924450705445,0.0363563990221998,-0.1757361416468729,22.0,24.0,25.0,24.0,40.43478260869565
119093,0.197667410165155,0.20816771175535864,0.06917406025598449,0.12961449795669328,0.08232801295222093,0.02588321244009315,-0.21751396370148224,16.0,29.0,28.0,31.0,40.14492753623189
118634,0.15811221971300937,0.08007927728656083,0.14274127320122987,0.44843400890899127,0.1750072167561127,0.10349663691337589,-0.2334488614483311,27.0,26.0,18.0,32.0,37.68115942028985
125498,0.15443720834451846,0.11245222866621418,0.09880199138430035,0.30061192104254786,0.11989100971217971,0.009054412621739139,-0.21117279560132118,26.0,27.0,26.0,29.0,32.02898550724637
120507,0.0742505077613469,0.07394286300360076,0.06341690270358713,0.4957233929533123,0.06746210411099539,-0.0004440926329707226,-0.0009773140045925555,29.0,23.0,31.0,1.0,28.985507246376812
120842,0.2250195657587366,0.07756003551327284,0.05873842419478348,0.07599984804658923,0.0780443887615508,0.018056874208118162,-0.24003511326274884,28.0,30.0,29.0,33.0,24.492753623188392
120844,0.07120323042122512,0.06695971624586994,0.060604313665645115,-0.08874729621557288,0.06455677495375998,-0.0004007442394784006,-0.0011629327956168556,30.0,34.0,32.0,2.0,15.942028985507246
101207,-0.23986031710270628,-0.04152381044854481,0.0695333570223926,0.16266076928646772,0.10897091901704538,-0.06528924788351526,-0.3544691649336603,39.0,28.0,27.0,38.0,15.217391304347826
119092,0.016091186722522632,0.005258871209757432,0.055825550357928355,0.03078485095458594,0.0689952982167755,0.009730745001153627,-0.1440161790933726,36.0,31.0,30.0,15.0,13.478260869565213
119120,0.055219955107626895,0.05840358798463097,0.051644356698553606,-0.22657538662791576,0.05620895216638369,-0.006413850728276476,-0.04328728923970093,32.0,37.0,34.0,5.0,9.130434782608692
101208,0.0723664530138024,0.06315784491375509,0.05705734207350055,-0.8155673679088263,0.060861457957871144,0.00026670968338238335,-0.0016224980244717857,31.0,40.0,33.0,3.0,7.971014492753623
118636,0.10454939683040276,0.040622050237771434,0.046639279794601585,-0.35662950751436784,0.05074772999976104,0.0012566742731558475,-0.08316361763638702,33.0,38.0,35.0,6.0,6.23188405797101
